season,team,games,points_allowed_sum,pa_pts_sum,sacks,ints,fr,safeties,blk_punts,blk_fgs,ret_td,takeaways,dst_fp_calc,ppg_calc,sacks_pg,takeaways_pg,fp,fp_delta
1999,ARI,15,333,6,31,16,27,0,0,0,3,43,141,9.4,2.066666667,2.866666667,141,0
1999,ATL,15,351,0,39,12,11,1,0,3,2,23,105,7,2.6,1.533333333,105,0
1999,BAL,14,230,33,44,18,20,1,0,1,4,38,181,12.92857143,3.142857143,2.714285714,181,0
1999,BUF,15,223,37,37,11,14,0,0,2,1,25,134,8.933333333,2.466666667,1.666666667,134,0
1999,CAR,15,368,-1,32,11,19,0,1,0,2,30,105,7,2.133333333,2,105,0
1999,CHI,15,321,11,36,14,35,0,0,3,1,49,157,10.46666667,2.4,3.266666667,157,0
1999,CIN,15,436,-19,33,12,33,0,0,1,4,45,130,8.666666667,2.2,3,130,0
1999,CLE,16,437,-13,25,8,25,0,1,0,0,33,80,5,1.5625,2.0625,80,0
1999,DAL,15,258,36,34,23,18,1,1,2,5,41,190,12.66666667,2.266666667,2.733333333,190,0
1999,DEN,15,306,13,47,13,28,2,1,0,2,41,160,10.66666667,3.133333333,2.733333333,160,0
1999,DET,15,299,13,45,14,25,1,0,1,2,39,152,10.13333333,3,2.6,152,0
1999,GB,15,317,13,27,23,25,1,0,0,1,48,144,9.6,1.8,3.2,144,0
1999,IND,15,302,15,41,10,21,0,0,1,3,31,138,9.2,2.733333333,2.066666667,138,0
1999,JAX,15,210,44,54,17,22,2,1,0,5,39,212,14.13333333,3.6,2.6,212,0
1999,KC,15,281,21,36,23,31,0,0,1,5,54,197,13.13333333,2.4,3.6,197,0
1999,MIA,15,315,13,37,18,17,1,0,1,1,35,130,8.666666667,2.466666667,2.333333333,130,0
1999,MIN,15,318,4,39,11,20,1,0,0,4,31,131,8.733333333,2.6,2.066666667,131,0
1999,NE,15,281,22,35,14,27,0,1,0,2,41,153,10.2,2.333333333,2.733333333,153,0
1999,NO,15,389,-5,39,19,30,0,0,0,0,49,132,8.8,2.6,3.266666667,132,0
1999,NYG,15,332,11,32,17,20,1,0,2,3,37,141,9.4,2.133333333,2.466666667,141,0
1999,NYJ,15,300,14,25,22,25,1,0,0,3,47,153,10.2,1.666666667,3.133333333,153,0
1999,OAK,15,291,14,43,20,18,0,0,1,1,38,141,9.4,2.866666667,2.533333333,141,0
1999,PHI,15,326,5,32,24,25,1,0,0,4,49,161,10.73333333,2.133333333,3.266666667,161,0
1999,PIT,15,273,25,37,13,21,0,0,0,0,34,130,8.666666667,2.466666667,2.266666667,130,0
1999,SD,15,310,14,37,15,27,1,2,0,0,42,141,9.4,2.466666667,2.8,141,0
1999,SEA,15,279,14,37,28,17,0,0,1,3,45,161,10.73333333,2.466666667,3,161,0
1999,SF,15,419,-13,32,13,22,1,0,0,3,35,109,7.266666667,2.133333333,2.333333333,109,0
1999,STL,14,194,39,49,25,18,1,0,0,10,43,236,16.85714286,3.5,3.071428571,236,0
1999,TB,15,229,37,41,20,11,1,0,1,2,31,156,10.4,2.733333333,2.066666667,156,0
1999,TEN,15,288,9,52,15,28,3,2,0,2,43,169,11.26666667,3.466666667,2.866666667,169,0
1999,WAS,15,367,-2,37,22,25,0,0,0,4,47,153,10.2,2.466666667,3.133333333,153,0
2000,ARI,15,423,-10,23,8,20,0,0,0,1,28,75,5,1.533333333,1.866666667,75,0
2000,ATL,15,400,-5,27,15,19,0,1,1,5,34,124,8.266666667,1.8,2.266666667,124,0
2000,BAL,15,145,68,34,20,40,0,0,0,0,60,222,14.8,2.266666667,4,222,0
2000,BUF,14,305,13,36,14,22,0,0,1,1,36,129,9.214285714,2.571428571,2.571428571,129,0
2000,CAR,15,258,22,27,17,28,1,0,1,4,45,167,11.13333333,1.8,3,167,0
2000,CHI,15,335,4,31,10,18,0,0,3,3,28,115,7.666666667,2.066666667,1.866666667,115,0
2000,CIN,15,343,4,24,8,22,0,0,0,2,30,100,6.666666667,1.6,2,100,0
2000,CLE,16,419,-6,42,12,25,0,0,1,1,37,118,7.375,2.625,2.3125,118,0
2000,DAL,15,330,12,25,14,14,1,0,2,2,28,111,7.4,1.666666667,1.866666667,111,0
2000,DEN,15,360,-2,38,26,26,1,1,0,6,52,180,12,2.533333333,3.466666667,180,0
2000,DET,15,284,19,27,25,23,0,1,1,3,48,164,10.93333333,1.8,3.2,164,0
2000,GB,15,309,20,33,21,18,1,0,0,2,39,145,9.666666667,2.2,2.6,145,0
2000,IND,15,316,5,41,13,13,2,1,0,2,26,116,7.733333333,2.733333333,1.733333333,116,0
2000,JAX,15,299,22,37,11,29,0,1,0,0,40,141,9.4,2.466666667,2.666666667,141,0
2000,KC,14,315,1,42,14,20,0,1,0,3,34,131,9.357142857,3,2.428571429,131,0
2000,MIA,14,189,42,41,25,13,0,0,1,1,38,167,11.92857143,2.928571429,2.714285714,167,0
2000,MIN,15,340,4,31,7,23,0,0,0,0,30,95,6.333333333,2.066666667,2,95,0
2000,NE,15,311,11,27,10,26,0,0,2,1,36,120,8,1.8,2.4,120,0
2000,NO,15,279,20,63,19,26,0,0,0,3,45,191,12.73333333,4.2,3,191,0
2000,NYG,15,221,35,42,19,23,0,0,0,0,42,161,10.73333333,2.8,2.8,161,0
2000,NYJ,15,287,14,36,19,19,0,0,2,2,38,142,9.466666667,2.4,2.533333333,142,0
2000,OAK,15,290,24,41,20,21,3,3,2,4,41,187,12.46666667,2.733333333,2.733333333,187,0
