season,fantasy_player_id,fantasy_player_name,team,targets,receptions,rec_yards,rec_td,air_yards,yac,adot,ypr,ypt,yac_per_rec,team_targets,target_share,wr_rush_att,wr_rush_yards,wr_rush_td,position,fp,games
1999,00-0007120,C.Hawkins,PIT,55,30,285,0,0,1,0,9.5,5.181818182,0.033333333,488,0.112704918,0,0,0,WR,58.50000083,10
1999,00-0007468,I.Hilliard,NYG,115,67,959,3,0,0,0,14.31343284,8.339130435,0,545,0.211009174,3,16,0,WR,182.5000016,15
1999,00-0007681,T.Holt,STL,84,44,630,3,0,35,0,14.31818182,7.5,0.795454545,0,0,3,25,0,WR,127.5000014,13
1999,00-0007744,J.Horn,KC,52,31,524,5,0,0,0,16.90322581,10.07692308,0,439,0.118451025,2,15,0,WR,114.9000005,14
1999,00-0008059,Q.Ismail,BAL,124,59,1009,6,0,0,0,17.10169492,8.137096774,0,450,0.275555556,1,4,0,WR,196.3000018,14
1999,00-0008060,R.Ismail,DAL,121,73,1035,5,0,0,0,14.17808219,8.553719008,0,465,0.260215054,13,110,1,WR,223.5000018,15
1999,00-0008210,W.Jackson,CIN,61,30,362,2,0,0,0,12.06666667,5.93442623,0,510,0.119607843,0,0,0,WR,80.200001,13
1999,00-0008300,P.Jeffers,CAR,86,56,917,10,0,19,0,16.375,10.6627907,0.339285714,524,0.164122137,1,-7,0,WR,207.0000022,12
1999,00-0008313,S.Jefferson,NE,72,39,688,6,0,0,0,17.64102564,9.555555556,0,494,0.145748988,0,0,0,WR,143.8000014,14
1999,00-0008400,J.Jett,OAK,79,39,552,2,0,11,0,14.15384615,6.987341772,0.282051282,0,0,0,0,0,WR,108.200001,15
1999,00-0008454,C.Johnson,PHI,72,34,414,1,0,8,0,12.17647059,5.75,0.235294118,427,0.168618267,0,0,0,WR,81.40000141,9
1999,00-0008560,K.Johnson,CLE,137,66,986,8,0,9,0,14.93939394,7.197080292,0.136363636,475,0.288421053,1,-6,0,WR,212.0000018,16
1999,00-0008561,K.Johnson,NYJ,142,86,1150,8,0,0,0,13.37209302,8.098591549,0,439,0.323462415,5,6,0,WR,249.6000017,15
1999,00-0008598,P.Johnson,BAL,47,20,412,3,0,0,0,20.6,8.765957447,0,450,0.104444444,1,12,0,WR,80.40000212,8
1999,00-0008962,J.Jurevicius,NYG,37,15,232,1,0,0,0,15.46666667,6.27027027,0,545,0.067889908,0,0,0,WR,44.20000112,10
1999,00-0009163,E.Kennison,NO,120,55,791,3,0,5,0,14.38181818,6.591666667,0.090909091,493,0.243407708,3,20,0,WR,156.1000015,15
1999,00-0009869,J.Lewis,BAL,54,25,281,2,0,0,0,11.24,5.203703704,0,450,0.12,5,11,0,WR,66.20000005,11
1999,00-0010007,K.Lockett,KC,54,31,357,1,0,0,0,11.51612903,6.611111111,0,439,0.123006834,0,0,0,WR,72.70000052,13
1999,00-0010477,T.Martin,MIA,117,67,1037,5,0,0,0,15.47761194,8.863247863,0,520,0.225,1,-6,0,WR,200.1000018,15
1999,00-0010539,T.Mathis,ATL,142,76,947,5,0,0,0,12.46052632,6.669014085,0,448,0.316964286,1,0,0,WR,200.7000039,15
1999,00-0010599,D.Mayes,SEA,96,57,765,10,0,0,0,13.42105263,7.96875,0,461,0.20824295,0,0,0,WR,193.5000018,14
1999,00-0010650,E.McCaffrey,DEN,110,65,964,7,0,0,0,14.83076923,8.763636364,0,488,0.225409836,0,0,0,WR,203.4000033,14
1999,00-0010668,K.McCardell,JAX,135,69,783,4,0,0,0,11.34782609,5.8,0,490,0.275510204,0,0,0,WR,173.3000015,15
1999,00-0010824,O.McDuffie,MIA,80,43,516,2,0,0,0,12,6.45,0,520,0.153846154,0,0,0,WR,106.6000011,12
1999,00-0011187,T.Mickens,OAK,37,18,235,0,0,2,0,13.05555556,6.351351351,0.111111111,0,0,0,0,0,WR,41.50000072,11
1999,00-0011328,E.Mills,DAL,53,30,325,0,0,0,0,10.83333333,6.132075472,0,465,0.113978495,1,-1,0,WR,62.40000119,11
1999,00-0011601,R.Moore,ARI,87,31,501,5,0,0,0,16.16129032,5.75862069,0,484,0.179752066,0,0,0,WR,111.1000021,11
1999,00-0011727,J.Morton,DET,118,70,1001,3,0,42,0,14.3,8.483050847,0.6,499,0.236472946,0,0,0,WR,188.1000018,14
1999,00-0011754,R.Moss,MIN,129,75,1258,10,0,50,0,16.77333333,9.751937984,0.666666667,490,0.263265306,4,43,0,WR,270.1800038,15
1999,00-0011770,E.Moulds,BUF,104,57,884,7,0,42,0,15.50877193,8.5,0.736842105,474,0.219409283,1,1,0,WR,187.5000011,13
1999,00-0011795,M.Muhammad,CAR,145,90,1208,7,0,29,0,13.42222222,8.331034483,0.322222222,524,0.276717557,0,0,0,WR,252.8000019,14
1999,00-0012478,T.Owens,SF,92,55,723,3,0,0,0,13.14545455,7.858695652,0,513,0.179337232,0,0,0,WR,145.3000017,13
1999,00-0012637,J.Pathon,IND,32,14,163,0,0,0,0,11.64285714,5.09375,0,505,0.063366337,0,0,0,WR,30.30000055,6
1999,00-0012764,C.Penn,SD,38,17,257,1,0,0,0,15.11764706,6.763157895,0,0,0,0,0,0,WR,48.70000052,9
1999,00-0012953,C.Pickens,CIN,102,54,706,6,0,0,0,13.07407407,6.921568627,0,510,0.2,0,0,0,WR,160.8400014,15
1999,00-0013097,K.Poole,NO,73,36,692,6,0,36,0,19.22222222,9.479452055,1,493,0.148073022,0,0,0,WR,141.2000018,14
1999,00-0013232,P.Price,BUF,67,29,362,2,0,8,0,12.48275862,5.402985075,0.275862069,474,0.141350211,1,-7,0,WR,76.50000054,11
1999,00-0013258,M.Pritchard,SEA,47,25,363,2,0,0,0,14.52,7.723404255,0,461,0.101952278,0,0,0,WR,73.30000138,11
1999,00-0013268,R.Proehl,STL,38,26,264,0,0,1,0,10.15384615,6.947368421,0.038461538,0,0,0,0,0,WR,52.40000015,10
1999,00-0013499,A.Reed,BUF,87,47,513,1,0,12,0,10.91489362,5.896551724,0.255319149,474,0.183544304,0,0,0,WR,104.3000008,13
1999,00-0013512,J.Reed,MIN,76,43,630,2,0,0,0,14.65116279,8.289473684,0,490,0.155102041,0,0,0,WR,118.0000023,12
1999,00-0013639,J.Rice,SF,115,61,687,5,0,22,0,11.26229508,5.973913043,0.360655738,513,0.22417154,2,13,0,WR,161.0000016,15
1999,00-0013712,M.Ricks,SD,71,38,409,0,0,0,0,10.76315789,5.76056338,0,0,0,2,11,0,WR,82.0000008,14
1999,00-0013770,A.Rison,KC,42,19,198,0,0,0,0,10.42105263,4.714285714,0,439,0.095671982,0,0,0,WR,38.79999983,11
1999,00-0013888,M.Robinson,CHI,136,77,1316,9,0,185,0,17.09090909,9.676470588,2.402597403,634,0.214511041,0,0,0,WR,262.6000054,15
1999,00-0014319,C.Sanders,TEN,45,19,333,1,0,4,0,17.52631579,7.4,0.210526316,496,0.090725806,0,0,0,WR,58.30000007,9
1999,00-0014328,F.Sanders,ARI,134,66,836,0,0,0,0,12.66666667,6.23880597,0,484,0.276859504,0,0,0,WR,149.6000022,14
1999,00-0014489,B.Schroeder,GB,115,68,958,3,0,0,0,14.08823529,8.330434783,0,551,0.208711434,0,0,0,WR,181.800001,15
1999,00-0014544,D.Scott,CIN,119,66,1001,7,0,0,0,15.16666667,8.411764706,0,510,0.233333333,0,0,0,WR,208.1000026,14
1999,00-0014729,B.Shaw,PIT,34,21,256,2,0,0,0,12.19047619,7.529411765,0,488,0.069672131,0,0,0,WR,58.6000011,7
1999,00-0014790,L.Shepherd,CLE,58,23,274,0,0,0,0,11.91304348,4.724137931,0,475,0.122105263,1,5,0,WR,50.90000141,9
1999,00-0014918,T.Simmons,NE,33,19,276,2,0,0,0,14.52631579,8.363636364,0,494,0.066801619,0,0,0,WR,58.60000074,7
1999,00-0015063,T.Small,PHI,87,43,557,3,0,2,0,12.95348837,6.402298851,0.046511628,427,0.203747073,0,0,0,WR,116.700002,13
1999,00-0015218,J.Smith,JAX,159,102,1471,6,0,0,0,14.42156863,9.251572327,0,490,0.324489796,0,0,0,WR,287.1000041,15
1999,00-0015290,R.Smith,DEN,123,70,914,4,0,0,0,13.05714286,7.430894309,0,488,0.25204918,0,0,0,WR,185.4000025,13
1999,00-0015751,J.Stokes,SF,70,29,299,2,0,30,0,10.31034483,4.271428571,1.034482759,513,0.136452242,0,0,0,WR,70.90000093,14
1999,00-0016214,Y.Thigpen,TEN,63,34,598,4,0,0,0,17.58823529,9.492063492,0,496,0.127016129,0,0,0,WR,117.8000009,9
1999,00-0016550,A.Toomer,NYG,131,77,1148,6,0,0,0,14.90909091,8.763358779,0,545,0.240366972,1,4,0,WR,228.2000019,15
1999,00-0016654,J.Tucker,DAL,38,19,317,1,0,0,0,16.68421053,8.342105263,0,465,0.08172043,1,8,0,WR,57.50000113,10
1999,00-0017160,D.Ward,NYJ,53,21,310,3,0,0,0,14.76190476,5.849056604,0,439,0.120728929,1,-1,0,WR,69.90000071,10
1999,00-0017162,H.Ward,PIT,88,55,570,6,0,32,0,10.36363636,6.477272727,0.581818182,488,0.180327869,2,-2,0,WR,147.8000021,15
1999,00-0017470,M.Westbrook,WAS,110,62,1166,9,0,0,0,18.80645161,10.6,0,501,0.219560878,7,35,0,WR,238.1000036,15
